TimeStartup,QuatX,QuatY,QuatZ,QuatS,GyroX,GyroY,GyroZ,AccelX,AccelY,AccelZ,MagX,MagY,MagZ,Temperature,Pressure
16173177507000,+0.7809416,+6.24575E-001,+3.16318E-003,+5.14682E-003,+00.000953,+00.000923,+00.000120,+00.0150,-00.1512,+10.1127,-0.054,-0.037,-0.759,+025.18,+101.15
16173178757000,+0.7809416,+6.24575E-001,+3.16318E-003,+5.14682E-003,+00.000824,+00.000852,+00.000724,+00.0176,-00.1374,+10.1054,-0.056,-0.042,-0.762,+025.18,+101.15
16173180007000,+0.7809417,+6.24575E-001,+3.16313E-003,+5.14784E-003,+00.000347,+00.000373,+00.000556,+00.0231,-00.1289,+10.0795,-0.056,-0.042,-0.762,+025.18,+101.14
16173181257000,+0.7809417,+6.24575E-001,+3.16313E-003,+5.14784E-003,-00.000065,+00.000307,-00.000071,+00.0221,-00.1240,+10.0594,-0.056,-0.042,-0.762,+025.18,+101.14
16173182507000,+0.7809409,+6.24576E-001,+3.16326E-003,+5.14909E-003,-00.000250,-00.000055,-00.000359,+00.0162,-00.1251,+10.0498,-0.056,-0.042,-0.762,+025.18,+101.14
16173183757000,+0.7809409,+6.24576E-001,+3.16326E-003,+5.14909E-003,-00.000059,-00.000571,-00.000548,+00.0078,-00.1390,+10.0562,-0.054,-0.040,-0.762,+025.18,+101.14
16173185007000,+0.7809407,+6.24576E-001,+3.16134E-003,+5.15079E-003,+00.000004,-00.000812,-00.000606,-00.0059,-00.1439,+10.0643,-0.054,-0.040,-0.762,+025.18,+101.14
16173186257000,+0.7809407,+6.24576E-001,+3.16134E-003,+5.15079E-003,-00.000045,-00.001273,-00.000081,-00.0026,-00.1404,+10.0811,-0.054,-0.040,-0.762,+025.18,+101.14
16173187507000,+0.7809417,+6.24575E-001,+3.16537E-003,+5.15184E-003,+00.000010,-00.001290,+00.000478,+00.0014,-00.1357,+10.0880,-0.055,-0.043,-0.763,+025.18,+101.14
16173188757000,+0.7809417,+6.24575E-001,+3.16537E-003,+5.15184E-003,+00.000087,-00.000816,+00.000131,-00.0033,-00.1330,+10.0806,-0.055,-0.043,-0.763,+025.18,+101.14
16173190007000,+0.7809403,+6.24576E-001,+3.16464E-003,+5.15133E-003,+00.000399,-00.000360,-00.000239,+00.0017,-00.1302,+10.0863,-0.055,-0.043,-0.763,+025.18,+101.14
16173191257000,+0.7809403,+6.24576E-001,+3.16464E-003,+5.15133E-003,+00.000241,-00.000466,-00.000558,+00.0066,-00.1194,+10.0922,-0.055,-0.043,-0.763,+025.18,+101.14
16173192507000,+0.7809406,+6.24576E-001,+3.16602E-003,+5.15180E-003,+00.000413,-00.000610,-00.000688,+00.0044,-00.1121,+10.0785,-0.055,-0.035,-0.769,+025.18,+101.14
16173193757000,+0.7809406,+6.24576E-001,+3.16602E-003,+5.15180E-003,+00.000772,-00.000939,+00.000202,+00.0110,-00.1081,+10.0707,-0.055,-0.035,-0.769,+025.18,+101.14
16173195007000,+0.7809414,+6.24575E-001,+3.16372E-003,+5.15172E-003,+00.000674,-00.001220,+00.000677,+00.0155,-00.1093,+10.0599,-0.055,-0.035,-0.769,+025.18,+101.14
16173196257000,+0.7809414,+6.24575E-001,+3.16372E-003,+5.15172E-003,+00.000936,-00.000654,+00.000764,+00.0161,-00.1191,+10.0481,-0.053,-0.043,-0.763,+025.18,+101.13
16173197507000,+0.7809422,+6.24574E-001,+3.16383E-003,+5.14979E-003,+00.000471,-00.000163,+00.001007,+00.0256,-00.1245,+10.0432,-0.053,-0.043,-0.763,+025.17,+101.13
16173198756000,+0.7809422,+6.24574E-001,+3.16383E-003,+5.14979E-003,-00.000109,-00.000168,+00.000593,+00.0311,-00.1280,+10.0485,-0.053,-0.043,-0.763,+025.17,+101.13
16173200007000,+0.7809431,+6.24573E-001,+3.16251E-003,+5.14967E-003,+00.000240,+00.000158,+00.001067,+00.0321,-00.1232,+10.0625,-0.052,-0.041,-0.759,+025.17,+101.15
16173201257000,+0.7809431,+6.24573E-001,+3.16251E-003,+5.14967E-003,+00.000138,-00.000399,+00.001845,+00.0287,-00.1238,+10.0684,-0.052,-0.041,-0.759,+025.17,+101.15
16173202507000,+0.7809446,+6.24571E-001,+3.15962E-003,+5.15285E-003,+00.000259,-00.001001,+00.001575,+00.0203,-00.1193,+10.0701,-0.052,-0.041,-0.759,+025.18,+101.15
16173203757000,+0.7809446,+6.24571E-001,+3.15962E-003,+5.15285E-003,+00.000147,-00.001034,+00.000932,+00.0187,-00.1108,+10.0661,-0.052,-0.041,-0.759,+025.18,+101.14
16173205007000,+0.7809434,+6.24573E-001,+3.16004E-003,+5.15517E-003,-00.000941,-00.001059,+00.000191,+00.0167,-00.1144,+10.0579,-0.054,-0.043,-0.762,+025.18,+101.14
16173206257000,+0.7809434,+6.24573E-001,+3.16004E-003,+5.15517E-003,-00.000931,-00.000717,-00.000572,+00.0139,-00.1257,+10.0613,-0.054,-0.043,-0.762,+025.18,+101.14
16173207507000,+0.7809434,+6.24573E-001,+3.15922E-003,+5.15454E-003,-00.000853,-00.000340,-00.000656,+00.0102,-00.1378,+10.0720,-0.054,-0.043,-0.762,+025.18,+101.14
16173208757000,+0.7809434,+6.24573E-001,+3.15922E-003,+5.15454E-003,-00.000521,-00.000033,-00.000024,+00.0081,-00.1471,+10.0742,-0.055,-0.042,-0.758,+025.19,+101.14
16173210007000,+0.7809441,+6.24572E-001,+3.15829E-003,+5.15389E-003,+00.000435,-00.000133,+00.000470,+00.0141,-00.1468,+10.0821,-0.055,-0.042,-0.758,+025.19,+101.14
16173211257000,+0.7809441,+6.24572E-001,+3.15829E-003,+5.15389E-003,+00.000766,-00.000145,+00.000712,+00.0255,-00.1375,+10.0738,-0.055,-0.042,-0.758,+025.19,+101.14
16173212507000,+0.780945,+6.24571E-001,+3.16110E-003,+5.15545E-003,+00.000963,+00.000177,+00.000895,+00.0408,-00.1264,+10.0741,-0.055,-0.042,-0.758,+025.19,+101.14
16173213757000,+0.780945,+6.24571E-001,+3.16110E-003,+5.15545E-003,+00.000716,+00.000186,+00.000893,+00.0477,-00.1257,+10.0773,-0.055,-0.041,-0.766,+025.18,+101.14
16173215007000,+0.780945,+6.24571E-001,+3.16017E-003,+5.15697E-003,+00.000265,-00.000258,+00.000555,+00.0483,-00.1306,+10.0755,-0.055,-0.041,-0.766,+025.18,+101.14
16173216257000,+0.780945,+6.24571E-001,+3.16017E-003,+5.15697E-003,-00.000103,-00.000704,+00.000519,+00.0482,-00.1303,+10.0795,-0.055,-0.041,-0.766,+025.18,+101.15
