Yaw,Pitch,Roll,MagX,MagY,MagZ,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
+170.250,+000.118,+179.339,-0.154,+0.033,-0.715,+00.0370,-00.1160,+10.0810,+00.000324,+00.001112,-00.000663
+170.250,+000.118,+179.340,-0.148,+0.032,-0.722,+00.0460,-00.1210,+10.0860,+00.001189,+00.000646,+00.000659
+170.249,+000.119,+179.340,-0.152,+0.031,-0.713,+00.0250,-00.1150,+10.0630,-00.000047,+00.000063,+00.000020
+170.250,+000.119,+179.340,-0.149,+0.032,-0.713,+00.0080,-00.1130,+10.0880,+00.000096,-00.000564,-00.000318
+170.247,+000.120,+179.340,-0.148,+0.033,-0.712,+00.0180,-00.1270,+10.0660,+00.000015,-00.000143,-00.000784
+170.249,+000.120,+179.340,-0.152,+0.029,-0.712,+00.0330,-00.1010,+10.0770,+00.000020,+00.000239,+00.000932
+170.251,+000.121,+179.341,-0.149,+0.032,-0.715,+00.0020,-00.1120,+10.0720,+00.000440,+00.000177,+00.000377
+170.249,+000.121,+179.339,-0.148,+0.032,-0.713,+00.0290,-00.1210,+10.0760,+00.000111,+00.000597,+00.000746
+170.247,+000.121,+179.339,-0.152,+0.029,-0.713,+00.0360,-00.0930,+10.0770,+00.000187,-00.000723,-00.000306
+170.246,+000.122,+179.340,-0.152,+0.033,-0.716,+00.0230,-00.1130,+10.0660,+00.000127,-00.000052,+00.000732
+170.240,+000.123,+179.339,-0.152,+0.033,-0.719,+00.0240,-00.1210,+10.0880,+00.000345,-00.000003,+00.000594
+170.236,+000.124,+179.339,-0.153,+0.033,-0.712,+00.0430,-00.1080,+10.0540,+00.000033,-00.001422,+00.000103
+170.234,+000.125,+179.341,-0.151,+0.026,-0.719,-00.0050,-00.0970,+10.0840,-00.000201,+00.000562,+00.000380
+170.233,+000.124,+179.340,-0.149,+0.029,-0.710,+00.0210,-00.1100,+10.0650,+00.000122,-00.000655,+00.000107
+170.235,+000.124,+179.340,-0.153,+0.031,-0.713,+00.0360,-00.1050,+10.0860,+00.000771,-00.000731,+00.000109
+170.234,+000.124,+179.341,-0.152,+0.034,-0.715,+00.0200,-00.0940,+10.0910,+00.000042,-00.000613,-00.000213
+170.235,+000.124,+179.341,-0.148,+0.027,-0.712,+00.0220,-00.1270,+10.0910,-00.000153,-00.000781,+00.000372
+170.238,+000.124,+179.341,-0.152,+0.033,-0.715,+00.0250,-00.1110,+10.0640,-00.000003,+00.000672,+00.000484
+170.238,+000.125,+179.342,-0.151,+0.037,-0.718,+00.0320,-00.1060,+10.0890,-00.000250,-00.000347,-00.000301
+170.240,+000.125,+179.342,-0.152,+0.032,-0.718,+00.0330,-00.1070,+10.0840,+00.001033,-00.000074,+00.000513
+170.239,+000.125,+179.343,-0.153,+0.035,-0.715,+00.0350,-00.1240,+10.0800,+00.000199,+00.000243,+00.000264
+170.239,+000.125,+179.343,-0.149,+0.034,-0.715,+00.0230,-00.1070,+10.0930,+00.000420,+00.000653,-00.000378
+170.236,+000.124,+179.344,-0.149,+0.033,-0.710,+00.0180,-00.1140,+10.0970,+00.000016,+00.000359,+00.000580
+170.236,+000.123,+179.344,-0.151,+0.032,-0.715,+00.0200,-00.1110,+10.0630,-00.000976,+00.000041,+00.001271
+170.235,+000.124,+179.343,-0.148,+0.030,-0.719,+00.0430,-00.1080,+10.0820,-00.001241,-00.000681,+00.000177
+170.238,+000.125,+179.344,-0.148,+0.033,-0.715,+00.0000,-00.1330,+10.0860,-00.001168,-00.000056,+00.000097
+170.236,+000.124,+179.343,-0.152,+0.033,-0.713,+00.0480,-00.0930,+10.0690,-00.000685,-00.000685,-00.000471
+170.231,+000.124,+179.344,-0.153,+0.033,-0.722,+00.0250,-00.1090,+10.0850,-00.000127,+00.000489,-00.000580
+170.230,+000.122,+179.345,-0.152,+0.033,-0.713,+00.0260,-00.1260,+10.0790,-00.000097,+00.000139,+00.000664
+170.225,+000.123,+179.345,-0.149,+0.029,-0.717,+00.0200,-00.1190,+10.0680,+00.000747,-00.000570,-00.000430
+170.227,+000.125,+179.344,-0.149,+0.041,-0.713,+00.0270,-00.1280,+10.0820,-00.000373,-00.001266,+00.000508
+170.229,+000.125,+179.345,-0.151,+0.037,-0.713,+00.0290,-00.1050,+10.1000,-00.000545,-00.001055,-00.000175
+170.225,+000.125,+179.347,-0.152,+0.031,-0.719,-00.0040,-00.0940,+10.0710,-00.000589,-00.001094,+00.000404
+170.220,+000.123,+179.348,-0.151,+0.027,-0.710,+00.0200,-00.0970,+10.0780,+00.000071,+00.001592,-00.000477
+170.221,+000.122,+179.348,-0.152,+0.029,-0.722,+00.0270,-00.1210,+10.0710,-00.001153,+00.000267,-00.000680
+170.222,+000.122,+179.348,-0.149,+0.033,-0.722,+00.0280,-00.1160,+10.0770,+00.000095,+00.000084,+00.000181
+170.218,+000.122,+179.348,-0.151,+0.034,-0.716,+00.0270,-00.0940,+10.0770,+00.000341,-00.001730,+00.000410
+170.220,+000.122,+179.348,-0.151,+0.036,-0.718,+00.0310,-00.1200,+10.0560,-00.000527,-00.000218,+00.000449
+170.218,+000.120,+179.348,-0.153,+0.033,-0.718,+00.0330,-00.0990,+10.0640,-00.000735,+00.001733,-00.000230
+170.220,+000.120,+179.348,-0.151,+0.033,-0.716,+00.0170,-00.1310,+10.1180,+00.000636,+00.000421,+00.000515
+170.219,+000.120,+179.348,-0.151,+0.028,-0.720,+00.0070,-00.1030,+10.0840,-00.000379,-00.000716,+00.000750
+170.219,+000.119,+179.349,-0.152,+0.032,-0.715,+00.0310,-00.1080,+10.0830,-00.000189,+00.000743,-00.000320
+170.218,+000.118,+179.348,-0.152,+0.027,-0.720,+00.0220,-00.1200,+10.0940,-00.000673,-00.000126,+00.000621
+170.215,+000.119,+179.348,-0.152,+0.035,-0.722,-00.0020,-00.1230,+10.0700,+00.000001,-00.000207,-00.000502
+170.215,+000.119,+179.347,-0.152,+0.031,-0.718,+00.0340,-00.1050,+10.0610,-00.000130,-00.000294,+00.000322
+170.219,+000.119,+179.348,-0.152,+0.034,-0.716,+00.0230,-00.0930,+10.0720,-00.000887,-00.000106,-00.000604
+170.219,+000.119,+179.347,-0.152,+0.029,-0.716,+00.0270,-00.1100,+10.0690,-00.000433,-00.000654,-00.000580
+170.221,+000.119,+179.348,-0.153,+0.033,-0.712,+00.0100,-00.1090,+10.1040,-00.000297,+00.000208,+00.000283
+170.221,+000.119,+179.349,-0.152,+0.028,-0.713,+00.0380,-00.1270,+10.0680,+00.000580,-00.000443,-00.000525
+170.219,+000.119,+179.348,-0.151,+0.041,-0.716,+00.0240,-00.1150,+10.0850,-00.000285,+00.000872,-00.000257
+170.215,+000.119,+179.347,-0.148,+0.041,-0.715,+00.0130,-00.1110,+10.0740,-00.001131,-00.000186,+00.000806
+170.215,+000.119,+179.347,-0.151,+0.031,-0.713,+00.0330,-00.1050,+10.0860,+00.000667,-00.000856,+00.000760
+170.218,+000.120,+179.346,-0.151,+0.039,-0.718,+00.0350,-00.1130,+10.0830,-00.000967,-00.000132,-00.000936
+170.218,+000.122,+179.345,-0.156,+0.038,-0.717,+00.0300,-00.1010,+10.0770,+00.000929,-00.000060,+00.000351
+170.218,+000.122,+179.344,-0.152,+0.033,-0.713,-00.0010,-00.1230,+10.0480,-00.001632,+00.000502,-00.000032
+170.220,+000.122,+179.344,-0.151,+0.029,-0.712,+00.0420,-00.1220,+10.0960,+00.000223,+00.000144,-00.000719
+170.220,+000.122,+179.343,-0.153,+0.027,-0.713,+00.0120,-00.1030,+10.0730,+00.001090,-00.000993,-00.000837
+170.219,+000.122,+179.344,-0.149,+0.029,-0.716,+00.0190,-00.1340,+10.0860,-00.000757,+00.000272,-00.000860
+170.222,+000.122,+179.344,-0.152,+0.031,-0.715,+00.0190,-00.1150,+10.0760,-00.000050,-00.000703,-00.000765
+170.226,+000.121,+179.344,-0.147,+0.044,-0.717,+00.0260,-00.1210,+10.0920,-00.000340,+00.000142,+00.000149
+170.223,+000.121,+179.344,-0.149,+0.034,-0.713,+00.0320,-00.1060,+10.1030,-00.000079,-00.000477,-00.000463
+170.225,+000.120,+179.345,-0.153,+0.029,-0.718,+00.0200,-00.1030,+10.0830,-00.000283,+00.000387,-00.000747
+170.225,+000.120,+179.346,-0.152,+0.032,-0.713,+00.0340,-00.1040,+10.0660,-00.000664,-00.000141,-00.001216
+170.218,+000.120,+179.346,-0.154,+0.031,-0.716,+00.0330,-00.1260,+10.1190,+00.000619,+00.001072,-00.000384
+170.215,+000.119,+179.346,-0.148,+0.032,-0.720,+00.0490,-00.0900,+10.1000,-00.000850,+00.000946,+00.000766
+170.215,+000.121,+179.346,-0.153,+0.031,-0.718,+00.0250,-00.0910,+10.1050,-00.000518,+00.000201,-00.000138
+170.218,+000.121,+179.347,-0.152,+0.029,-0.711,+00.0470,-00.1090,+10.0950,-00.000385,+00.000389,+00.000596
+170.218,+000.122,+179.347,-0.148,+0.026,-0.714,+00.0120,-00.1230,+10.0910,-00.000167,-00.001249,-00.001646
