TimeStartup,QuatX,QuatY,QuatZ,QuatS,GyroX,GyroY,GyroZ,AccelX,AccelY,AccelZ,MagX,MagY,MagZ,Temperature,Pressure
1977253756000,+0.841242,+5.40626E-001,+2.25452E-003,+5.53280E-003,-00.001193,+00.000002,+00.000197,+00.0304,-00.1179,+10.0852,-0.158,+0.042,-0.695,+026.37,+101.13
1977255007000,+0.8412422,+5.40626E-001,+2.25685E-003,+5.53209E-003,-00.001144,+00.000743,-00.000052,+00.0269,-00.1222,+10.0739,-0.158,+0.042,-0.695,+026.37,+101.13
1977256257000,+0.8412422,+5.40626E-001,+2.25685E-003,+5.53209E-003,-00.001000,+00.001226,+00.000194,+00.0260,-00.1284,+10.0598,-0.158,+0.042,-0.695,+026.38,+101.13
1977257506000,+0.8412424,+5.40625E-001,+2.25732E-003,+5.53417E-003,-00.000774,+00.001016,-00.000121,+00.0203,-00.1202,+10.0521,-0.160,+0.043,-0.699,+026.38,+101.13
1977258757000,+0.8412424,+5.40625E-001,+2.25732E-003,+5.53417E-003,-00.000704,+00.000040,-00.000665,+00.0156,-00.1229,+10.0376,-0.160,+0.043,-0.699,+026.39,+101.13
1977260006000,+0.8412416,+5.40626E-001,+2.25684E-003,+5.53536E-003,-00.000809,-00.000336,-00.000727,+00.0153,-00.1221,+10.0332,-0.160,+0.043,-0.699,+026.39,+101.13
1977261256000,+0.8412416,+5.40626E-001,+2.25684E-003,+5.53536E-003,-00.000942,+00.000021,-00.000175,+00.0103,-00.1265,+10.0451,-0.157,+0.043,-0.690,+026.38,+101.13
1977262506000,+0.841243,+5.40624E-001,+2.25908E-003,+5.53619E-003,-00.000808,-00.000236,+00.000175,+00.0049,-00.1272,+10.0407,-0.157,+0.043,-0.690,+026.38,+101.13
1977263756000,+0.841243,+5.40624E-001,+2.25908E-003,+5.53619E-003,-00.000559,+00.000037,-00.000200,+00.0071,-00.1264,+10.0355,-0.157,+0.043,-0.690,+026.37,+101.12
1977265007000,+0.8412421,+5.40626E-001,+2.25903E-003,+5.53535E-003,-00.000216,+00.000347,+00.000011,+00.0052,-00.1256,+10.0445,-0.160,+0.052,-0.698,+026.37,+101.12
1977266257000,+0.8412421,+5.40626E-001,+2.25903E-003,+5.53535E-003,+00.000262,+00.000284,-00.000064,+00.0019,-00.1216,+10.0491,-0.160,+0.052,-0.698,+026.37,+101.12
1977267507000,+0.8412523,+5.40610E-001,+2.26372E-003,+5.53268E-003,+00.000628,+00.001360,+00.000176,-00.0010,-00.1225,+10.0529,-0.160,+0.052,-0.698,+026.37,+101.14
1977268757000,+0.8412523,+5.40610E-001,+2.26372E-003,+5.53268E-003,+00.000044,+00.001954,+00.001015,-00.0012,-00.1147,+10.0724,-0.160,+0.052,-0.698,+026.36,+101.14
1977270006000,+0.8412532,+5.40608E-001,+2.26682E-003,+5.53363E-003,-00.000657,+00.002025,+00.001528,+00.0169,-00.1135,+10.0819,-0.164,+0.037,-0.696,+026.36,+101.14
1977271257000,+0.8412532,+5.40608E-001,+2.26682E-003,+5.53363E-003,-00.000854,+00.001753,+00.001703,+00.0330,-00.1085,+10.0930,-0.164,+0.037,-0.696,+026.36,+101.13
1977272506000,+0.8412631,+5.40593E-001,+2.26716E-003,+5.53235E-003,-00.000957,+00.000949,+00.001328,+00.0389,-00.1074,+10.1083,-0.164,+0.037,-0.696,+026.36,+101.13
1977273756000,+0.8412631,+5.40593E-001,+2.26716E-003,+5.53235E-003,-00.000383,-00.000050,+00.000828,+00.0422,-00.1115,+10.1069,-0.160,+0.042,-0.695,+026.37,+101.13
1977275007000,+0.8412625,+5.40594E-001,+2.26568E-003,+5.53347E-003,-00.000023,-00.000620,+00.000254,+00.0316,-00.1116,+10.0987,-0.160,+0.042,-0.695,+026.37,+101.13
1977276257000,+0.8412625,+5.40594E-001,+2.26568E-003,+5.53347E-003,-00.000355,-00.000552,-00.000334,+00.0193,-00.1097,+10.0907,-0.160,+0.042,-0.695,+026.37,+101.13
1977277507000,+0.8412625,+5.40594E-001,+2.26382E-003,+5.53334E-003,-00.000303,-00.000470,-00.000361,+00.0212,-00.1121,+10.0928,-0.160,+0.042,-0.695,+026.37,+101.13
1977278757000,+0.8412625,+5.40594E-001,+2.26382E-003,+5.53334E-003,-00.000304,-00.000083,-00.000101,+00.0164,-00.1154,+10.0807,-0.158,+0.043,-0.696,+026.37,+101.13
1977280007000,+0.8412625,+5.40594E-001,+2.26382E-003,+5.53334E-003,-00.000146,+00.000225,+00.000175,+00.0178,-00.1157,+10.0786,-0.158,+0.043,-0.696,+026.38,+101.12
1977281257000,+0.8412625,+5.40594E-001,+2.26382E-003,+5.53334E-003,+00.000558,-00.000238,+00.000079,+00.0230,-00.1186,+10.0694,-0.158,+0.043,-0.696,+026.38,+101.12
1977282506000,+0.8412626,+5.40594E-001,+2.26243E-003,+5.53190E-003,+00.000853,-00.000679,+00.000047,+00.0205,-00.1136,+10.0538,-0.161,+0.042,-0.699,+026.39,+101.12
1977283756000,+0.8412626,+5.40594E-001,+2.26243E-003,+5.53190E-003,+00.000958,-00.000533,+00.000497,+00.0221,-00.1102,+10.0605,-0.161,+0.042,-0.699,+026.39,+101.12
1977285007000,+0.8412638,+5.40592E-001,+2.26150E-003,+5.53212E-003,+00.000881,-00.001006,+00.000755,+00.0178,-00.1159,+10.0521,-0.161,+0.042,-0.699,+026.39,+101.12
1977286257000,+0.8412638,+5.40592E-001,+2.26150E-003,+5.53212E-003,-00.000005,-00.001082,+00.001084,+00.0144,-00.1278,+10.0700,-0.158,+0.040,-0.703,+026.39,+101.12
1977287506000,+0.8412635,+5.40592E-001,+2.26185E-003,+5.53147E-003,-00.000207,-00.000479,+00.000982,+00.0204,-00.1368,+10.0736,-0.158,+0.040,-0.703,+026.39,+101.13
1977288757000,+0.8412635,+5.40592E-001,+2.26185E-003,+5.53147E-003,+00.000147,+00.000226,+00.000456,+00.0209,-00.1415,+10.0710,-0.158,+0.040,-0.703,+026.38,+101.13
