TimeStartup,QuatX,QuatY,QuatZ,QuatS,GyroX,GyroY,GyroZ,AccelX,AccelY,AccelZ,MagX,MagY,MagZ,Temperature,Pressure
117161257000,+0.8556993,+5.17441E-001,+2.03524E-003,+5.40341E-003,+00.000226,+00.000132,-00.000088,+00.0277,-00.1281,+10.0296,+0.280,+0.550,-0.836,+025.51,+101.12
117162507000,+0.8557014,+5.17438E-001,+2.03735E-003,+5.40512E-003,+00.000146,+00.000306,-00.000024,+00.0290,-00.1297,+10.0490,+0.280,+0.550,-0.836,+025.51,+101.12
117163757000,+0.8557014,+5.17438E-001,+2.03735E-003,+5.40512E-003,+00.000450,+00.000440,+00.000323,+00.0246,-00.1383,+10.0748,+0.277,+0.548,-0.837,+025.51,+101.12
117165007000,+0.8557022,+5.17436E-001,+2.03711E-003,+5.40391E-003,+00.000727,+00.000672,+00.000255,+00.0285,-00.1445,+10.0926,+0.277,+0.548,-0.837,+025.51,+101.12
117166257000,+0.8557022,+5.17436E-001,+2.03711E-003,+5.40391E-003,+00.000967,+00.000298,+00.000342,+00.0182,-00.1348,+10.1013,+0.277,+0.548,-0.837,+025.51,+101.12
117167506000,+0.8556984,+5.17443E-001,+2.03755E-003,+5.40944E-003,+00.000943,-00.000106,+00.000374,+00.0204,-00.1159,+10.1057,+0.278,+0.539,-0.837,+025.51,+101.10
117168757000,+0.8556984,+5.17443E-001,+2.03755E-003,+5.40944E-003,+00.000597,-00.000133,-00.000015,+00.0220,-00.1138,+10.0795,+0.278,+0.539,-0.837,+025.51,+101.10
117170007000,+0.8556988,+5.17442E-001,+2.03759E-003,+5.41034E-003,+00.000161,-00.000446,+00.000052,+00.0253,-00.1064,+10.0651,+0.278,+0.539,-0.837,+025.50,+101.10
117171257000,+0.8556988,+5.17442E-001,+2.03759E-003,+5.41034E-003,-00.000896,-00.001006,+00.000173,+00.0326,-00.1056,+10.0708,+0.278,+0.539,-0.837,+025.50,+101.13
117172506000,+0.8556952,+5.17448E-001,+2.03593E-003,+5.41296E-003,-00.001518,-00.000970,+00.000155,+00.0249,-00.1162,+10.0621,+0.277,+0.543,-0.832,+025.51,+101.13
117173756000,+0.8556952,+5.17448E-001,+2.03593E-003,+5.41296E-003,-00.001293,-00.001025,+00.000436,+00.0241,-00.1079,+10.0730,+0.277,+0.543,-0.832,+025.51,+101.13
117175007000,+0.8556959,+5.17447E-001,+2.03412E-003,+5.41154E-003,-00.000339,-00.001125,+00.000417,+00.0219,-00.1131,+10.0933,+0.277,+0.543,-0.832,+025.51,+101.13
117176257000,+0.8556959,+5.17447E-001,+2.03412E-003,+5.41154E-003,+00.000932,-00.000861,+00.000553,+00.0182,-00.1241,+10.0956,+0.280,+0.540,-0.836,+025.51,+101.11
117177506000,+0.8556948,+5.17449E-001,+2.03337E-003,+5.40898E-003,+00.001763,-00.000023,+00.000773,+00.0199,-00.1243,+10.1111,+0.280,+0.540,-0.836,+025.51,+101.11
117178757000,+0.8556948,+5.17449E-001,+2.03337E-003,+5.40898E-003,+00.001536,+00.000326,+00.000487,+00.0263,-00.1274,+10.1086,+0.280,+0.540,-0.836,+025.51,+101.11
117180007000,+0.8556948,+5.17449E-001,+2.03436E-003,+5.40970E-003,+00.000449,+00.000494,+00.000199,+00.0277,-00.1165,+10.0835,+0.280,+0.540,-0.836,+025.51,+101.12
117181257000,+0.8556948,+5.17449E-001,+2.03436E-003,+5.40970E-003,-00.000773,+00.001186,-00.000229,+00.0298,-00.1085,+10.0787,+0.280,+0.540,-0.836,+025.51,+101.12
117182507000,+0.8556929,+5.17452E-001,+2.03603E-003,+5.41129E-003,-00.001157,+00.001010,-00.000402,+00.0274,-00.1029,+10.0684,+0.280,+0.540,-0.836,+025.51,+101.12
117183756000,+0.8556929,+5.17452E-001,+2.03603E-003,+5.41129E-003,-00.001049,+00.000781,-00.000066,+00.0265,-00.0898,+10.0786,+0.280,+0.540,-0.836,+025.51,+101.12
117185006000,+0.8556935,+5.17451E-001,+2.03591E-003,+5.41055E-003,-00.000427,+00.000932,+00.000095,+00.0263,-00.0918,+10.1057,+0.277,+0.542,-0.832,+025.51,+101.12
117186257000,+0.8556935,+5.17451E-001,+2.03591E-003,+5.41055E-003,+00.000531,+00.000280,+00.000348,+00.0183,-00.0998,+10.1122,+0.277,+0.542,-0.832,+025.50,+101.12
117187506000,+0.8556926,+5.17452E-001,+2.03264E-003,+5.40683E-003,+00.000162,-00.000208,+00.000513,+00.0138,-00.1090,+10.1067,+0.277,+0.542,-0.832,+025.50,+101.12
117188757000,+0.8556926,+5.17452E-001,+2.03264E-003,+5.40683E-003,-00.000222,-00.000036,+00.000428,+00.0094,-00.1231,+10.0877,+0.277,+0.542,-0.836,+025.51,+101.12
117190007000,+0.8556931,+5.17452E-001,+2.03357E-003,+5.40855E-003,-00.000779,-00.000040,+00.000332,+00.0023,-00.1263,+10.0653,+0.277,+0.542,-0.836,+025.51,+101.12
117191257000,+0.8556931,+5.17452E-001,+2.03357E-003,+5.40855E-003,-00.001549,+00.000356,+00.000508,+00.0090,-00.1140,+10.0525,+0.277,+0.542,-0.836,+025.51,+101.12
117192507000,+0.8556926,+5.17452E-001,+2.03928E-003,+5.40843E-003,-00.000834,+00.000536,+00.000562,+00.0189,-00.1107,+10.0520,+0.277,+0.542,-0.836,+025.51,+101.12
117193757000,+0.8556926,+5.17452E-001,+2.03928E-003,+5.40843E-003,-00.000039,+00.000235,+00.000491,+00.0160,-00.1179,+10.0651,+0.277,+0.548,-0.837,+025.51,+101.12
117195007000,+0.8556929,+5.17452E-001,+2.03752E-003,+5.40860E-003,+00.000136,-00.000382,+00.000528,+00.0157,-00.1228,+10.0746,+0.277,+0.548,-0.837,+025.51,+101.12
117196257000,+0.8556929,+5.17452E-001,+2.03752E-003,+5.40860E-003,+00.000494,-00.000632,+00.000255,+00.0178,-00.1353,+10.0801,+0.277,+0.548,-0.837,+025.51,+101.12
117197506000,+0.8556896,+5.17457E-001,+2.04019E-003,+5.40854E-003,+00.000479,-00.000217,+00.000396,+00.0265,-00.1384,+10.0904,+0.279,+0.542,-0.840,+025.51,+101.12
117198757000,+0.8556896,+5.17457E-001,+2.04019E-003,+5.40854E-003,+00.000065,+00.000503,+00.000688,+00.0406,-00.1273,+10.0846,+0.279,+0.542,-0.840,+025.51,+101.12
117200007000,+0.8556905,+5.17456E-001,+2.04251E-003,+5.40742E-003,+00.000074,+00.001442,+00.000848,+00.0507,-00.1247,+10.0746,+0.279,+0.542,-0.840,+025.51,+101.12
117201257000,+0.8556905,+5.17456E-001,+2.04251E-003,+5.40742E-003,+00.000166,+00.001856,+00.001148,+00.0435,-00.1273,+10.0722,+0.279,+0.542,-0.840,+025.51,+101.12
117202506000,+0.8556868,+5.17462E-001,+2.03986E-003,+5.41246E-003,-00.000376,+00.001520,+00.000564,+00.0299,-00.1225,+10.0576,+0.280,+0.545,-0.834,+025.51,+101.12
117203756000,+0.8556868,+5.17462E-001,+2.03986E-003,+5.41246E-003,-00.000400,+00.000931,+00.000211,+00.0227,-00.1255,+10.0500,+0.280,+0.545,-0.834,+025.51,+101.14
117205007000,+0.8556872,+5.17461E-001,+2.04013E-003,+5.41144E-003,+00.000011,+00.000801,+00.000176,+00.0170,-00.1242,+10.0399,+0.280,+0.545,-0.834,+025.51,+101.14
117206257000,+0.8556872,+5.17461E-001,+2.04013E-003,+5.41144E-003,+00.000209,+00.000908,+00.000415,+00.0138,-00.1132,+10.0312,+0.280,+0.544,-0.831,+025.51,+101.14
117207506000,+0.855688,+5.17460E-001,+2.04383E-003,+5.41120E-003,+00.000485,+00.001260,+00.000412,+00.0205,-00.1159,+10.0362,+0.280,+0.544,-0.831,+025.51,+101.12
117208757000,+0.855688,+5.17460E-001,+2.04383E-003,+5.41120E-003,+00.000443,+00.001518,-00.000097,+00.0191,-00.1152,+10.0551,+0.280,+0.544,-0.831,+025.51,+101.12
117210007000,+0.8556876,+5.17461E-001,+2.04386E-003,+5.41103E-003,+00.000246,+00.001006,-00.000171,+00.0199,-00.1161,+10.0829,+0.280,+0.541,-0.830,+025.51,+101.12
117211257000,+0.8556876,+5.17461E-001,+2.04386E-003,+5.41103E-003,+00.000819,+00.000381,-00.000345,+00.0296,-00.1202,+10.0898,+0.280,+0.541,-0.830,+025.51,+101.13
117212507000,+0.8556884,+5.17459E-001,+2.04263E-003,+5.40756E-003,+00.001615,+00.000224,-00.000085,+00.0316,-00.1147,+10.0882,+0.280,+0.541,-0.830,+025.51,+101.13
117213756000,+0.8556884,+5.17459E-001,+2.04263E-003,+5.40756E-003,+00.002130,+00.000496,+00.000114,+00.0250,-00.1006,+10.0791,+0.280,+0.541,-0.830,+025.50,+101.13
117215007000,+0.8556885,+5.17459E-001,+2.04374E-003,+5.40462E-003,+00.002340,+00.001167,+00.000305,+00.0188,-00.0999,+10.0745,+0.277,+0.541,-0.836,+025.50,+101.13
117216257000,+0.8556885,+5.17459E-001,+2.04374E-003,+5.40462E-003,+00.001861,+00.001591,+00.000629,+00.0093,-00.1005,+10.0844,+0.277,+0.541,-0.836,+025.50,+101.13
117217506000,+0.8556888,+5.17459E-001,+2.04329E-003,+5.40023E-003,+00.001028,+00.001450,+00.000545,-00.0002,-00.1032,+10.0794,+0.277,+0.541,-0.836,+025.51,+101.13
117218756000,+0.8556888,+5.17459E-001,+2.04329E-003,+5.40023E-003,+00.000393,+00.001621,+00.000446,-00.0032,-00.1126,+10.0671,+0.277,+0.542,-0.837,+025.51,+101.13
117220007000,+0.8556891,+5.17458E-001,+2.04544E-003,+5.39837E-003,+00.000446,+00.001580,+00.000634,-00.0118,-00.1116,+10.0585,+0.277,+0.542,-0.837,+025.51,+101.12
117221257000,+0.8556891,+5.17458E-001,+2.04544E-003,+5.39837E-003,+00.000710,+00.001663,+00.000621,-00.0110,-00.1099,+10.0472,+0.277,+0.542,-0.837,+025.51,+101.12
117222506000,+0.8556896,+5.17457E-001,+2.05032E-003,+5.39252E-003,+00.000883,+00.001394,+00.000799,-00.0070,-00.1131,+10.0541,+0.277,+0.542,-0.837,+025.51,+101.12
117223756000,+0.8556896,+5.17457E-001,+2.05032E-003,+5.39252E-003,+00.000755,+00.000677,+00.001499,+00.0027,-00.1205,+10.0738,+0.278,+0.542,-0.834,+025.51,+101.13
117225007000,+0.8556904,+5.17456E-001,+2.05111E-003,+5.39409E-003,-00.000011,+00.000217,+00.001208,+00.0150,-00.1156,+10.0740,+0.278,+0.542,-0.834,+025.51,+101.13
117226257000,+0.8556904,+5.17456E-001,+2.05111E-003,+5.39409E-003,-00.000804,-00.000122,+00.000769,+00.0227,-00.1119,+10.0678,+0.278,+0.542,-0.834,+025.50,+101.13
117227507000,+0.8556905,+5.17456E-001,+2.05238E-003,+5.39356E-003,-00.000753,+00.000254,+00.000750,+00.0221,-00.0990,+10.0705,+0.279,+0.542,-0.839,+025.50,+101.13
117228757000,+0.8556905,+5.17456E-001,+2.05238E-003,+5.39356E-003,-00.000225,+00.000369,+00.000273,+00.0238,-00.0909,+10.0794,+0.279,+0.542,-0.839,+025.51,+101.13
117230007000,+0.8556907,+5.17456E-001,+2.05246E-003,+5.39219E-003,+00.000451,+00.000308,+00.000185,+00.0260,-00.0992,+10.0885,+0.279,+0.542,-0.839,+025.51,+101.13
117231257000,+0.8556907,+5.17456E-001,+2.05246E-003,+5.39219E-003,+00.000744,+00.000002,+00.000098,+00.0234,-00.1125,+10.0980,+0.278,+0.551,-0.832,+025.51,+101.13
117232506000,+0.8556908,+5.17455E-001,+2.04980E-003,+5.38986E-003,+00.000360,-00.000282,-00.000073,+00.0170,-00.1262,+10.1048,+0.278,+0.551,-0.832,+025.51,+101.11
