TimeStartup,QuatX,QuatY,QuatZ,QuatS,GyroX,GyroY,GyroZ,AccelX,AccelY,AccelZ,MagX,MagY,MagZ,Temperature,Pressure
265850007000,+0.9482188,-3.17531E-001,-3.12818E-003,+6.73288E-003,-00.001257,-00.000045,+00.000849,+00.0066,-00.1630,+10.1642,+0.112,-0.066,-0.810,+025.45,+100.38
265851257000,+0.9482188,-3.17531E-001,-3.12818E-003,+6.73288E-003,-00.000862,+00.000538,+00.000470,+00.0010,-00.1676,+10.1617,+0.112,-0.069,-0.806,+025.44,+100.38
265852506000,+0.9482209,-3.17525E-001,-3.12692E-003,+6.73487E-003,-00.000039,+00.000970,+00.000601,+00.0037,-00.1641,+10.1391,+0.112,-0.069,-0.806,+025.45,+100.38
265853756000,+0.9482209,-3.17525E-001,-3.12692E-003,+6.73487E-003,+00.000054,+00.001030,+00.001018,+00.0101,-00.1522,+10.1341,+0.112,-0.069,-0.806,+025.45,+100.38
265855007000,+0.9482207,-3.17526E-001,-3.12595E-003,+6.73447E-003,+00.000275,+00.000548,+00.001026,+00.0108,-00.1398,+10.1364,+0.112,-0.069,-0.806,+025.46,+100.38
265856256000,+0.9482207,-3.17526E-001,-3.12595E-003,+6.73447E-003,+00.000540,+00.000405,+00.000737,+00.0114,-00.1390,+10.1303,+0.115,-0.079,-0.807,+025.46,+100.40
265857506000,+0.9482226,-3.17520E-001,-3.12493E-003,+6.73365E-003,+00.000428,+00.000047,+00.000224,+00.0110,-00.1382,+10.1307,+0.115,-0.079,-0.807,+025.46,+100.40
265858756000,+0.9482226,-3.17520E-001,-3.12493E-003,+6.73365E-003,+00.000623,-00.000668,+00.000000,+00.0127,-00.1381,+10.1256,+0.115,-0.079,-0.807,+025.46,+100.40
265860006000,+0.9482228,-3.17519E-001,-3.12631E-003,+6.73178E-003,+00.000536,-00.000761,-00.000146,+00.0168,-00.1395,+10.1019,+0.112,-0.071,-0.809,+025.46,+100.40
265861257000,+0.9482228,-3.17519E-001,-3.12631E-003,+6.73178E-003,-00.000179,-00.000727,-00.000190,+00.0136,-00.1424,+10.0928,+0.112,-0.071,-0.809,+025.46,+100.40
