TimeStartup,QuatX,QuatY,QuatZ,QuatS,GyroX,GyroY,GyroZ,AccelX,AccelY,AccelZ,MagX,MagY,MagZ,Temperature,Pressure
1295336257000,+0.9496362,-3.13264E-001,-3.19831E-003,+6.83768E-003,-00.000284,+00.000505,+00.000157,+00.0113,-00.1509,+10.1140,-0.098,+0.538,-0.628,+025.76,+100.39
1295337507000,+0.9496361,-3.13264E-001,-3.19949E-003,+6.83487E-003,+00.000336,-00.000224,+00.000214,+00.0051,-00.1565,+10.1325,-0.099,+0.531,-0.628,+025.76,+100.39
1295338757000,+0.9496361,-3.13264E-001,-3.19949E-003,+6.83487E-003,+00.000304,-00.000723,-00.000518,+00.0093,-00.1650,+10.1403,-0.099,+0.531,-0.628,+025.75,+100.39
1295340006000,+0.9496371,-3.13261E-001,-3.20035E-003,+6.83431E-003,+00.000450,-00.000957,-00.001338,+00.0141,-00.1723,+10.1284,-0.099,+0.531,-0.628,+025.75,+100.39
1295341257000,+0.9496371,-3.13261E-001,-3.20035E-003,+6.83431E-003,+00.000910,-00.000438,-00.002113,+00.0248,-00.1665,+10.1348,-0.099,+0.531,-0.628,+025.75,+100.39
1295342506000,+0.9496377,-3.13259E-001,-3.19878E-003,+6.83520E-003,+00.000860,+00.000149,-00.002191,+00.0306,-00.1651,+10.1260,-0.096,+0.528,-0.629,+025.75,+100.39
1295343756000,+0.9496377,-3.13259E-001,-3.19878E-003,+6.83520E-003,+00.001077,+00.000390,-00.001435,+00.0363,-00.1589,+10.1325,-0.096,+0.528,-0.629,+025.75,+100.39
1295345007000,+0.9496376,-3.13260E-001,-3.19986E-003,+6.83362E-003,+00.001222,-00.000072,-00.000757,+00.0254,-00.1479,+10.1467,-0.096,+0.528,-0.629,+025.75,+100.39
1295346257000,+0.9496376,-3.13260E-001,-3.19986E-003,+6.83362E-003,+00.001001,-00.000857,-00.000097,+00.0169,-00.1342,+10.1483,-0.099,+0.525,-0.622,+025.75,+100.39
1295347506000,+0.9496374,-3.13260E-001,-3.20177E-003,+6.83196E-003,+00.000672,-00.001225,+00.000265,+00.0139,-00.1308,+10.1484,-0.099,+0.525,-0.622,+025.75,+100.39
1295348757000,+0.9496374,-3.13260E-001,-3.20177E-003,+6.83196E-003,+00.000021,-00.000942,+00.000177,+00.0105,-00.1349,+10.1319,-0.099,+0.525,-0.622,+025.75,+100.39
1295350006000,+0.9496372,-3.13261E-001,-3.20243E-003,+6.83516E-003,-00.001090,-00.000467,+00.000331,+00.0186,-00.1328,+10.1212,-0.100,+0.531,-0.628,+025.75,+100.39
1295351257000,+0.9496372,-3.13261E-001,-3.20243E-003,+6.83516E-003,-00.001489,-00.000066,+00.000323,+00.0238,-00.1382,+10.1105,-0.100,+0.531,-0.628,+025.75,+100.39
1295352507000,+0.9496374,-3.13260E-001,-3.20162E-003,+6.83365E-003,-00.001479,+00.000287,-00.000239,+00.0294,-00.1439,+10.0951,-0.100,+0.531,-0.628,+025.75,+100.39
1295353756000,+0.9496374,-3.13260E-001,-3.20162E-003,+6.83365E-003,-00.000887,+00.000800,-00.000896,+00.0286,-00.1441,+10.0960,-0.100,+0.531,-0.628,+025.75,+100.39
1295355007000,+0.9496384,-3.13257E-001,-3.19941E-003,+6.83452E-003,-00.000238,+00.001095,-00.001636,+00.0168,-00.1429,+10.0976,-0.098,+0.535,-0.630,+025.75,+100.39
1295356257000,+0.9496384,-3.13257E-001,-3.19941E-003,+6.83452E-003,-00.000158,+00.001096,-00.001728,+00.0195,-00.1439,+10.0875,-0.098,+0.535,-0.630,+025.75,+100.39
1295357507000,+0.9496384,-3.13257E-001,-3.19873E-003,+6.83285E-003,+00.000280,+00.000951,-00.001445,+00.0201,-00.1387,+10.0981,-0.098,+0.535,-0.630,+025.75,+100.39
1295358756000,+0.9496384,-3.13257E-001,-3.19873E-003,+6.83285E-003,+00.000765,+00.000119,-00.001345,+00.0129,-00.1325,+10.0970,-0.100,+0.531,-0.626,+025.75,+100.39
1295360006000,+0.9496395,-3.13254E-001,-3.19930E-003,+6.83063E-003,+00.001106,-00.000494,-00.001608,+00.0163,-00.1377,+10.0938,-0.100,+0.531,-0.626,+025.75,+100.39
1295361257000,+0.9496395,-3.13254E-001,-3.19930E-003,+6.83063E-003,+00.000776,-00.000926,-00.001763,+00.0132,-00.1439,+10.0988,-0.100,+0.531,-0.626,+025.75,+100.39
1295362507000,+0.9496396,-3.13254E-001,-3.20041E-003,+6.83019E-003,+00.000168,-00.001040,-00.001552,+00.0040,-00.1532,+10.0901,-0.100,+0.531,-0.626,+025.75,+100.39
1295363756000,+0.9496396,-3.13254E-001,-3.20041E-003,+6.83019E-003,-00.000409,-00.001154,-00.001097,+00.0089,-00.1562,+10.0997,-0.096,+0.540,-0.625,+025.75,+100.40
1295365007000,+0.9496401,-3.13252E-001,-3.20224E-003,+6.83053E-003,-00.000963,-00.001202,-00.000867,+00.0226,-00.1576,+10.1159,-0.096,+0.540,-0.625,+025.75,+100.40
1295366257000,+0.9496401,-3.13252E-001,-3.20224E-003,+6.83053E-003,-00.000316,-00.000901,-00.000841,+00.0241,-00.1488,+10.1180,-0.096,+0.540,-0.625,+025.75,+100.40
1295367506000,+0.9496397,-3.13253E-001,-3.20284E-003,+6.82982E-003,+00.000117,-00.000760,-00.000574,+00.0276,-00.1382,+10.1278,-0.098,+0.538,-0.626,+025.75,+100.40
1295368756000,+0.9496397,-3.13253E-001,-3.20284E-003,+6.82982E-003,+00.000021,-00.001300,-00.000070,+00.0264,-00.1355,+10.1234,-0.098,+0.538,-0.626,+025.75,+100.40
1295370006000,+0.9496394,-3.13254E-001,-3.20575E-003,+6.83052E-003,-00.000150,-00.001133,+00.000613,+00.0159,-00.1338,+10.1132,-0.098,+0.538,-0.626,+025.75,+100.40
1295371257000,+0.9496394,-3.13254E-001,-3.20575E-003,+6.83052E-003,-00.000681,-00.000816,+00.000831,+00.0034,-00.1415,+10.1138,-0.101,+0.531,-0.626,+025.75,+100.40
1295372506000,+0.9496393,-3.13255E-001,-3.20540E-003,+6.82971E-003,-00.001140,-00.001104,+00.000274,-00.0053,-00.1455,+10.1044,-0.101,+0.531,-0.626,+025.75,+100.39
1295373756000,+0.9496393,-3.13255E-001,-3.20540E-003,+6.82971E-003,-00.000800,-00.000465,+00.000313,-00.0036,-00.1503,+10.1019,-0.101,+0.531,-0.626,+025.75,+100.39
1295375007000,+0.9496388,-3.13256E-001,-3.20562E-003,+6.82918E-003,-00.000336,-00.000241,+00.000458,+00.0028,-00.1629,+10.0950,-0.101,+0.531,-0.626,+025.75,+100.39
1295376257000,+0.9496388,-3.13256E-001,-3.20562E-003,+6.82918E-003,-00.000349,-00.000109,+00.000776,+00.0074,-00.1791,+10.0918,-0.099,+0.532,-0.623,+025.75,+100.39
1295377507000,+0.9496383,-3.13257E-001,-3.20333E-003,+6.83344E-003,-00.000589,+00.000489,+00.001378,+00.0128,-00.1863,+10.0941,-0.099,+0.532,-0.623,+025.75,+100.39
