TimeStartup,QuatX,QuatY,QuatZ,QuatS,GyroX,GyroY,GyroZ,AccelX,AccelY,AccelZ,MagX,MagY,MagZ,Temperature,Pressure
10921618757000,+0.9544434,-2.98299E-001,-3.13538E-003,+6.76670E-003,-00.000029,-00.000246,+00.000564,+00.0378,-00.1564,+10.0774,-0.045,+0.566,-0.648,+024.48,+100.48
10921620007000,+0.9544432,-2.98300E-001,-3.13493E-003,+6.76747E-003,-00.000053,-00.000142,+00.000357,+00.0283,-00.1620,+10.0757,-0.045,+0.566,-0.648,+024.48,+100.49
10921621257000,+0.9544432,-2.98300E-001,-3.13493E-003,+6.76747E-003,-00.000026,+00.000013,+00.001325,+00.0251,-00.1576,+10.0845,-0.046,+0.566,-0.647,+024.48,+100.49
10921622506000,+0.954443,-2.98300E-001,-3.13689E-003,+6.76796E-003,-00.000065,-00.000005,+00.002043,+00.0249,-00.1646,+10.1028,-0.046,+0.566,-0.647,+024.48,+100.49
10921623756000,+0.954443,-2.98300E-001,-3.13689E-003,+6.76796E-003,+00.000339,-00.000332,+00.002040,+00.0253,-00.1611,+10.1098,-0.046,+0.566,-0.647,+024.48,+100.48
10921625007000,+0.9544427,-2.98301E-001,-3.13818E-003,+6.76859E-003,-00.000167,-00.000544,+00.001622,+00.0242,-00.1537,+10.1057,-0.046,+0.566,-0.647,+024.48,+100.48
10921626257000,+0.9544427,-2.98301E-001,-3.13818E-003,+6.76859E-003,-00.000646,-00.000246,+00.000804,+00.0238,-00.1489,+10.0989,-0.047,+0.570,-0.644,+024.48,+100.48
10921627506000,+0.9544436,-2.98298E-001,-3.13771E-003,+6.76997E-003,-00.000675,+00.000150,-00.000199,+00.0290,-00.1347,+10.0978,-0.047,+0.570,-0.644,+024.48,+100.49
10921628757000,+0.9544436,-2.98298E-001,-3.13771E-003,+6.76997E-003,-00.000554,+00.001044,-00.001025,+00.0249,-00.1317,+10.0890,-0.047,+0.570,-0.644,+024.48,+100.49
10921630007000,+0.9544437,-2.98298E-001,-3.13483E-003,+6.77221E-003,-00.000792,+00.001939,-00.000678,+00.0314,-00.1297,+10.0957,-0.046,+0.568,-0.649,+024.48,+100.49
10921631257000,+0.9544437,-2.98298E-001,-3.13483E-003,+6.77221E-003,-00.001135,+00.001757,-00.000053,+00.0274,-00.1308,+10.1023,-0.046,+0.568,-0.649,+024.48,+100.48
10921632507000,+0.9544439,-2.98297E-001,-3.13652E-003,+6.77021E-003,-00.000894,+00.001112,+00.000169,+00.0190,-00.1385,+10.0999,-0.046,+0.568,-0.649,+024.48,+100.48
