TimeStartup,QuatX,QuatY,QuatZ,QuatS,GyroX,GyroY,GyroZ,AccelX,AccelY,AccelZ,MagX,MagY,MagZ,Temperature,Pressure
10801738756000,+0.9549521,-2.96666E-001,-3.02721E-003,+6.83934E-003,-00.000360,-00.001318,-00.000866,+00.0306,-00.1857,+10.1074,-0.116,-0.003,-0.685,+024.48,+100.49
10801740006000,+0.9549521,-2.96666E-001,-3.02959E-003,+6.83854E-003,-00.000569,-00.001673,-00.000331,+00.0337,-00.1795,+10.1080,-0.116,-0.003,-0.685,+024.49,+100.47
10801741257000,+0.9549521,-2.96666E-001,-3.02959E-003,+6.83854E-003,+00.000066,-00.001387,-00.000065,+00.0514,-00.1730,+10.0980,-0.116,-0.003,-0.685,+024.49,+100.47
10801742506000,+0.9549536,-2.96661E-001,-3.03226E-003,+6.84128E-003,+00.000670,-00.000600,-00.000391,+00.0553,-00.1560,+10.0887,-0.116,-0.012,-0.695,+024.50,+100.47
10801743757000,+0.9549536,-2.96661E-001,-3.03226E-003,+6.84128E-003,+00.000694,-00.000116,-00.000359,+00.0513,-00.1460,+10.0941,-0.116,-0.012,-0.695,+024.50,+100.48
10801745007000,+0.9549535,-2.96661E-001,-3.03267E-003,+6.84229E-003,+00.000215,+00.000363,-00.000262,+00.0597,-00.1463,+10.0887,-0.116,-0.012,-0.695,+024.50,+100.48
10801746257000,+0.9549535,-2.96661E-001,-3.03267E-003,+6.84229E-003,-00.000603,-00.000197,-00.000019,+00.0453,-00.1531,+10.0888,-0.119,-0.010,-0.688,+024.50,+100.48
10801747507000,+0.9549565,-2.96652E-001,-3.04011E-003,+6.84055E-003,-00.000879,-00.000511,+00.000288,+00.0333,-00.1576,+10.1012,-0.119,-0.010,-0.688,+024.50,+100.48
10801748757000,+0.9549565,-2.96652E-001,-3.04011E-003,+6.84055E-003,-00.000125,-00.000263,+00.000302,+00.0371,-00.1522,+10.0889,-0.119,-0.010,-0.688,+024.49,+100.48
10801750007000,+0.9549565,-2.96651E-001,-3.03782E-003,+6.83839E-003,+00.000654,+00.000149,+00.000047,+00.0401,-00.1496,+10.0952,-0.117,-0.009,-0.686,+024.49,+100.48
10801751257000,+0.9549565,-2.96651E-001,-3.03782E-003,+6.83839E-003,+00.001074,+00.000852,-00.000226,+00.0343,-00.1489,+10.1151,-0.117,-0.009,-0.686,+024.48,+100.48
10801752507000,+0.9549599,-2.96641E-001,-3.04112E-003,+6.83690E-003,+00.001246,+00.000735,-00.000501,+00.0317,-00.1404,+10.1182,-0.117,-0.009,-0.686,+024.48,+100.48
10801753757000,+0.9549599,-2.96641E-001,-3.04112E-003,+6.83690E-003,+00.000429,-00.000065,-00.000336,+00.0276,-00.1451,+10.1217,-0.117,-0.009,-0.686,+024.48,+100.48
10801755007000,+0.9549596,-2.96642E-001,-3.04150E-003,+6.83717E-003,+00.000165,-00.000258,-00.000108,+00.0197,-00.1406,+10.1109,-0.114,-0.006,-0.686,+024.48,+100.48
10801756257000,+0.9549596,-2.96642E-001,-3.04150E-003,+6.83717E-003,+00.000242,-00.000026,-00.000457,+00.0206,-00.1312,+10.0888,-0.114,-0.006,-0.686,+024.48,+100.48
10801757507000,+0.9549599,-2.96641E-001,-3.03883E-003,+6.83481E-003,+00.000384,+00.000767,-00.000427,+00.0223,-00.1398,+10.0763,-0.114,-0.006,-0.686,+024.48,+100.48
10801758757000,+0.9549599,-2.96641E-001,-3.03883E-003,+6.83481E-003,+00.000752,+00.001576,-00.000490,+00.0095,-00.1353,+10.0839,-0.116,-0.010,-0.688,+024.48,+100.48
10801760007000,+0.9549598,-2.96641E-001,-3.03908E-003,+6.83539E-003,+00.000118,+00.001116,-00.000659,+00.0053,-00.1460,+10.0883,-0.116,-0.010,-0.688,+024.48,+100.48
